<<<<<<< HEAD
<<<<<<< HEAD
index,condition,constructionYear,lat,length,lon,lrp,road
165,B,1984,23.15273649,6.3,91.32431788,LRP128A,N1
166,B,1984,23.14366677,3.5,91.32666805,LRP129A,N1
167,B,1992,23.13898932,6.1,91.32635853,LRP130A,N1
168,B,1983,23.13326397,3,91.32754642,LRP131A,N1
169,A,1984,23.12523636,6.5,91.33038637,LRP131B,N1
170,B,1972,23.11969738,4.5,91.33281651,LRP132A,N1
171,B,1983,23.11582516,5.3,91.33509449,LRP133A,N1
172,A,1984,23.10742845,6.1,91.34004954,LRP134A,N1
173,B,1988,23.10175632,3.1,91.343163,LRP135A,N1
174,B,1984,23.09735125,9.5,91.34549563,LRP135B,N1
175,A,1984,23.09302984,3.1,91.34783084,LRP136A,N1
176,B,1975,23.08707537,9.25,91.35121015,LRP136C,N1
177,A,1994,23.08199095,3.5,91.35418115,LRP137A,N1
178,B,1994,23.0779647,14.2,91.3566005,LRP137B,N1
179,B,1986,23.07019818,6.1,91.3603022,LRP138A,N1
180,UK,-1,23.0808049,14.97574379,91.3548611,LRP139B,N1
181,B,1984,23.06074733,4,91.36186246,LRP140A,N1
182,A,1999,23.03797281,10.8,91.36567847,LRP142A,N1
183,A,1970,23.02698012,1.6,91.36550048,LRP143A,N1
184,A,1981,23.01240484,3.4,91.37797961,LRP145A,N1
185,A,1970,22.99924876,1.5,91.3957752,LRP148A,N1
186,A,1986,22.99472808,23.4,91.40228949,LRP149A,N1
187,B,-1,22.99472808,22.86,91.40228949,LRP149A,N1
188,A,-1,22.99459361,22.15,91.40245391,LRP149B,N1
189,A,1999,22.99271694,1.9,91.4047487,LRP149C,N1
190,UK,-1,22.9961941,22.95271775,91.4005,LRP151A,N1
191,C,1982,22.96144874,98.87,91.4429962,LRP155A,N1
192,B,1982,22.96144874,94.05,91.4429962,LRP155A,N1
193,UK,-1,22.9624167,106.5518648,91.4416941,LRP156A,N1
194,A,1984,22.94860387,1.5,91.47949938,LRP159A,N1
195,B,1972,22.94961261,191.5,91.5020669,LRP161A,N1
196,B,1972,22.94961261,193.22,91.5020669,LRP161A,N1
197,UK,-1,22.9496663,204.2094368,91.5007778,LRP163A,N1
198,B,1985,22.91496471,220.6,91.52628954,LRP166A,N1
199,A,1974,22.91496471,222.43,91.52628954,LRP166A,N1
200,A,1988,22.90971289,6.1,91.5289285,LRP166C,N1
201,A,1999,22.9042463,3,91.53162978,LRP167A,N1
202,UK,-1,22.9156667,226.753484,91.5259438,LRP168A,N1
203,A,1990,22.8916386,3,91.5354719,LRP169A,N1
204,A,1991,22.87469869,4.3,91.54088366,LRP171A,N1
205,A,1985,22.87272203,2,91.54159588,LRP171B,N1
206,A,1988,22.86805637,1.5,91.54329633,LRP171C,N1
207,A,1996,22.86098769,4.3,91.54515517,LRP172A,N1
208,A,1985,22.85948479,2,91.54548,LRP172B,N1
209,A,1988,22.85605657,1.5,91.54571887,LRP173A,N1
210,A,1993,22.85514753,1.5,91.54582218,LRP173B,N1
211,A,1996,22.84861728,8.5,91.54637061,LRP174A,N1
212,A,1993,22.84539149,3,91.54746892,LRP174B,N1
213,A,1992,22.84345514,1.5,91.54814956,LRP174C,N1
214,A,1992,22.84109433,3,91.5488097,LRP175A,N1
215,A,1993,22.83274677,3,91.5501035,LRP175B,N1
216,A,1988,22.83096134,4.5,91.55050285,LRP176A,N1
217,C,1992,22.82437066,12.4,91.55269155,LRP176B,N1
218,B,1979,22.81156344,9.5,91.55625621,LRP179A,N1
219,A,1988,22.79418135,4.5,91.56296126,LRP181A,N1
220,B,1986,22.78219689,23.2,91.56910257,LRP182A,N1
221,A,1985,22.77419709,6,91.57287375,LRP183B,N1
222,A,1989,22.77025167,9.7,91.57509052,LRP184A,N1
223,A,1992,22.76306269,4,91.58045388,LRP185A,N1
224,A,1999,22.75356532,12.9,91.58860042,LRP186A,N1
225,A,1992,22.75063935,3,91.59088404,LRP187A,N1
226,B,1986,22.74451365,8.1,91.59439989,LRP187B,N1
227,A,1988,22.72331676,3,91.60243314,LRP190A,N1
228,A,1985,22.71782439,3,91.60576233,LRP191A,N1
229,A,1993,22.71727073,3,91.60610848,LRP191B,N1
230,C,1984,22.71387274,19.2,91.60823522,LRP191C,N1
231,A,1986,22.7018165,19.2,91.61497346,LRP193A,N1
232,A,1993,22.69125171,4.2,91.62016906,LRP194A,N1
233,A,1984,22.68686976,3.2,91.62203858,LRP195A,N1
234,A,1990,22.6769773,6,91.62681695,LRP196A,N1
235,A,1990,22.66995944,3,91.62935317,LRP197A,N1
236,A,1984,22.6657839,3,91.63112936,LRP197B,N1
237,A,1986,22.66159568,3,91.63352574,LRP198A,N1
238,A,1984,22.65471243,3.1,91.63792618,LRP199A,N1
239,A,1989,22.65107095,4.6,91.64003412,LRP199B,N1
240,A,1992,22.64745611,12.4,91.64191712,LRP199C,N1
241,A,2003,22.63609659,3,91.64820924,LRP201A,N1
242,A,1999,22.63432857,3,91.64920773,LRP201B,N1
243,A,1985,22.62816664,3,91.65275783,LRP202A,N1
244,B,1986,22.62583234,6.1,91.65418576,LRP202B,N1
245,A,1983,22.62304617,3,91.65546725,LRP203A,N1
246,A,1989,22.61775635,3,91.65805894,LRP203B,N1
247,A,1992,22.61498997,4.6,91.66026705,LRP204A,N1
248,A,1980,22.61498997,4.6,91.66026705,LRP204A,N1
249,A,1986,22.61175567,3,91.66256867,LRP205A,N1
250,A,1985,22.60383944,2.95,91.66737456,LRP206A,N1
251,B,1988,22.60235069,4.5,91.66833673,LRP206B,N1
252,B,1984,22.59716658,9.3,91.67181921,LRP206C,N1
253,A,1989,22.59388818,4.5,91.67388894,LRP207A,N1
254,C,1988,22.58703502,22.25,91.67704447,LRP208A,N1
255,A,1989,22.58150867,2.5,91.67953904,LRP208D,N1
256,A,1990,22.57679302,10.2,91.68162274,LRP209A,N1
257,A,1988,22.57029059,3,91.68400967,LRP210A,N1
258,A,1985,22.56799681,8.2,91.68468666,LRP210B,N1
259,A,1987,22.56642129,4.5,91.68518266,LRP210D,N1
260,A,1986,22.55852109,4.1,91.68750624,LRP211A,N1
261,B,1985,22.55433198,21.6,91.68879631,LRP212A,N1
262,A,1987,22.54677272,3,91.69262606,LRP213A,N1
263,A,2000,22.54448978,5.2,91.69413108,LRP213B,N1
264,A,1986,22.53903002,8.2,91.69654527,LRP214A,N1
265,A,2004,22.5303678,3,91.70046412,LRP215A,N1
266,B,1985,22.52293592,16.3,91.70383662,LRP215B,N1
267,UK,-1,22.519416,17.26029859,91.7053611,LRP216A,N1
268,C,1965,22.51134712,27,91.70879079,LRP217A,N1
269,A,-1,22.51134712,41.11,91.70879079,LRP217A,N1
270,UK,-1,22.5131389,42.5123664,91.7080833,LRP217D,N1
271,A,1989,22.50602204,4.5,91.71128482,LRP218A,N1
272,A,1989,22.50008583,17.6,91.71415049,LRP218B,N1
273,B,1984,22.4904406,3,91.71827267,LRP219A,N1
274,A,1989,22.48554801,4.5,91.71953095,LRP220A,N1
275,B,1987,22.48116421,23.2,91.72036336,LRP220B,N1
276,D,-1,22.48116421,24.33,91.72036336,LRP220B,N1
277,A,1988,22.47285309,6,91.72326335,LRP221A,N1
278,B,1986,22.46243864,23.2,91.7285307,LRP223A,N1
279,D,-1,22.46243864,24.32,91.7285307,LRP223A,N1
280,A,1985,22.44886285,3,91.73428239,LRP224A,N1
281,C,1984,22.44607933,26.3,91.73536743,LRP225A,N1
282,A,1989,22.43750352,3,91.73866595,LRP226A,N1
283,A,1995,22.43507379,40,91.73965272,LRP226B,N1
284,UK,-1,22.4307493,39.2875035,91.7415274,LRP227B,N1
285,B,1990,22.42204155,35.1,91.74802098,LRP228A,N1
286,UK,-1,22.4185549,36.66650355,91.7504722,LRP229A,N1
287,A,1996,22.40301454,5,91.75657412,LRP230A,N1
288,A,1984,22.39633988,3,91.75825516,LRP231A,N1
289,A,1955,22.39271753,18,91.75908821,LRP231B,N1
290,A,1951,22.38524588,3,91.76250566,LRP232A,N1
291,A,1990,22.37970118,8.3,91.76704765,LRP233A,N1
292,A,1993,22.36968413,3,91.77392587,LRP234A,N1
293,C,1983,22.35990574,4.65,91.85226949,LRP236A,N1
294,B,1995,22.35226747,14.7,91.85262205,LRP238A,N1
295,A,-1,22.35226747,15.8,91.85262205,LRP238A,N1
296,B,1996,22.33953935,38.4,91.85338716,LRP239A,N1
297,C,-1,22.33953935,39.67,91.85338716,LRP239A,N1
298,B,1985,22.33576732,39.4,91.85385369,LRP240A,N1
299,C,-1,22.33576732,40.38,91.85385369,LRP240A,N1
300,A,1985,22.33491534,48.5,91.8533979,LRP240C,N1
301,C,-1,22.33491534,49.31,91.8533979,LRP240C,N1
302,C,1993,22.32664514,914,91.85275939,LRP241A,N1
303,A,-1,22.32664514,954.5,91.85275939,LRP241A,N1
304,C,1982,22.31292651,11,91.85618192,LRP242B,N1
305,A,-1,22.31292651,17.3,91.85618192,LRP242B,N1
306,C,1981,22.30645776,15.2,91.86044903,LRP243B,N1
307,A,1968,22.30262355,3,91.8635647,LRP244A,N1
308,B,1973,22.30028513,5.7,91.86529803,LRP244B,N1
309,A,1972,22.29753503,3,91.86636303,LRP244C,N1
310,A,1993,22.29323663,1.5,91.86843607,LRP245A,N1
311,A,1992,22.29164214,3,91.87029114,LRP245B,N1
312,A,1985,22.29260793,3,91.87302012,LRP246A,N1
313,A,1995,22.29446535,3,91.87671797,LRP246B,N1
314,C,1993,22.29626987,116.5,91.8807528,LRP247A,N1
315,A,-1,22.29626987,116.13,91.8807528,LRP247A,N1
316,B,1987,22.29883692,3,91.88735128,LRP248A,N1
317,UK,-1,22.3373886,47.51541525,91.8542778,LRP248C,N1
318,B,1978,22.30210258,3.1,91.89925828,LRP249A,N1
319,A,1987,22.30353655,3,91.90442272,LRP250A,N1
320,A,2000,22.30831899,3,91.9142153,LRP251A,N1
321,B,1986,22.30831899,10.8,91.9142153,LRP251A,N1
322,A,1983,22.31375468,3,91.92031764,LRP252A,N1
323,A,1999,22.31574681,3,91.92435241,LRP252C,N1
324,A,1966,22.31375656,5.3,91.93398323,LRP253A,N1
325,A,1974,22.30843941,3,91.9483887,LRP255A,N1
326,C,1977,22.3006016,50.8,91.96584577,LRP257A,N1
327,B,-1,22.3006016,50.3,91.96584577,LRP257A,N1
328,A,1978,22.2911452,12.4,91.98336683,LRP260A,N1
329,C,1992,22.28593202,60.5,91.9923092,LRP261A,N1
330,B,-1,22.28593202,61,91.9923092,LRP261A,N1
331,B,1978,22.28114247,14,91.99955717,LRP262A,N1
332,A,1985,22.27108957,3,92.00559725,LRP263B,N1
333,C,1979,22.26116137,14.8,92.00730358,LRP264A,N1
334,B,-1,22.26116137,15.2,92.00730358,LRP264A,N1
335,C,1982,22.25905159,9.8,92.00811112,LRP264C,N1
336,A,1992,22.25493748,9.2,92.01030213,LRP265A,N1
337,A,1978,22.25311996,6,92.01197187,LRP265B,N1
338,A,1986,22.24871301,9.4,92.0158341,LRP267A,N1
339,A,1991,22.24038616,14,92.02179183,LRP268A,N1
340,A,1978,22.23663455,14,92.02326475,LRP268B,N1
341,B,1956,22.23149782,12.6,92.02496566,LRP269A,N1
342,B,-1,22.23149782,12.7,92.02496566,LRP269A,N1
343,B,1979,22.22606085,9.4,92.02646504,LRP269C,N1
344,A,1991,22.22227199,14,92.0273786,LRP270A,N1
345,A,1985,22.21558735,9.2,92.02902304,LRP271A,N1
346,C,1965,22.20710265,50.4,92.03633247,LRP272A,N1
347,D,-1,22.20710265,50.8,92.03633247,LRP272A,N1
348,B,1978,22.20498376,9.2,92.03833123,LRP272C,N1
349,B,1982,22.1739179,12.3,92.05329254,LRP276A,N1
350,UK,-1,22.2278882,12.65390524,92.025916,LRP277A,N1
351,C,1960,22.15862728,211.3,92.06820631,LRP279A,N1
352,B,-1,22.15862728,211,92.06820631,LRP279A,N1
353,UK,-1,22.2059444,12.90743189,92.0370274,LRP279C,N1
354,A,1993,22.14985231,9.2,92.06963307,LRP280A,N1
355,A,1994,22.13695223,12.4,92.06993013,LRP282A,N1
356,A,1994,22.13252084,15.4,92.07015654,LRP282C,N1
357,A,1980,22.12991603,34.6,92.07060247,LRP282E,N1
358,A,-1,22.12991603,33.65,92.07060247,LRP282E,N1
359,A,1978,22.1277338,28,92.07100123,LRP283A,N1
360,A,-1,22.1277338,27.9,92.07100123,LRP283A,N1
361,A,1994,22.1230776,15.4,92.07170105,LRP283C,N1
362,A,1994,22.1204875,20.4,92.07197051,LRP283D,N1
363,A,1994,22.11335249,5,92.0726869,LRP284A,N1
364,A,1994,22.09827857,7.2,92.07480042,LRP286B,N1
365,A,1994,22.0935775,11.2,92.0805048,LRP287A,N1
366,A,1994,22.08406683,2,92.09319694,LRP288A,N1
367,A,1993,22.08052061,12.6,92.09848553,LRP289A,N1
368,UK,-1,22.1308049,37.95943131,92.070416,LRP290A,N1
369,UK,-1,22.1285271,28.32357692,92.0708604,LRP290C,N1
370,A,1992,22.06956008,30.3,92.10427542,LRP291A,N1
371,B,-1,22.06956008,30.3,92.10427542,LRP291A,N1
372,A,1994,22.06790996,2,92.105553,LRP291C,N1
373,A,1993,22.06375672,38.8,92.10710611,LRP291D,N1
374,A,-1,22.06375672,38.5,92.10710611,LRP291D,N1
375,A,1991,22.06088615,2.5,92.10773337,LRP292A,N1
376,A,1992,22.05650512,8.2,92.10908546,LRP292B,N1
377,A,1992,22.05192964,12.6,92.10906139,LRP293A,N1
378,A,1992,22.04837132,6,92.10819385,LRP293C,N1
379,A,1992,22.04409626,13.64,92.10706295,LRP294A,N1
380,A,1991,22.03758985,2.5,92.10398911,LRP294C,N1
381,A,1991,22.03758985,2.5,92.10398911,LRP294C,N1
382,A,1991,22.03186488,2.5,92.10412467,LRP295A,N1
383,A,1992,22.02870136,68.8,92.10342933,LRP295B,N1
384,A,-1,22.02870136,68.8,92.10342933,LRP295B,N1
385,A,1994,22.02600455,2,92.10269674,LRP296A,N1
386,A,1994,22.02049803,10,92.10142777,LRP296B,N1
387,A,1994,22.00782005,3,92.09277658,LRP298A,N1
388,A,1993,22.00417261,12.6,92.09056863,LRP299A,N1
389,A,1993,22.00042964,6.2,92.08831938,LRP299C,N1
390,A,1992,21.99583596,3,92.08745891,LRP300A,N1
391,A,1992,21.995741,12.4,92.08744606,LRP300B,N1
392,A,1987,21.99223344,58.8,92.08635821,LRP300D,N1
393,A,-1,21.99223344,58.5,92.08635821,LRP300D,N1
394,A,1986,21.99028024,14.2,92.08568597,LRP301A,N1
395,A,1992,21.98704087,24.2,92.08399437,LRP301B,N1
396,B,-1,21.98704087,22,92.08399437,LRP301B,N1
397,A,1992,21.98190404,22.5,92.08077333,LRP302A,N1
398,B,-1,21.98190404,22.4,92.08077333,LRP302A,N1
399,A,1991,21.98046236,18.7,92.07887163,LRP302C,N1
400,A,1992,21.97929857,3.5,92.07584923,LRP302E,N1
401,A,1989,21.9738684,2.5,92.06832048,LRP303A,N1
402,A,1982,21.96895812,1.5,92.06415011,LRP304B,N1
403,A,1986,21.96221386,22.4,92.06331688,LRP305A,N1
404,A,-1,21.96221386,22.4,92.06331688,LRP305A,N1
405,A,1992,21.95924011,8.2,92.06527913,LRP305C,N1
406,A,1987,21.95803216,3,92.06639328,LRP306A,N1
407,A,1986,21.95207954,22.4,92.06781381,LRP306B,N1
408,B,-1,21.95207954,22.3,92.06781381,LRP306B,N1
409,A,1992,21.94539937,1.4,92.06692866,LRP307A,N1
410,A,1993,21.93602902,4.5,92.06254272,LRP308A,N1
411,A,1992,21.93394544,9.3,92.06166615,LRP308B,N1
412,A,1994,21.93230867,4.5,92.06080096,LRP309A,N1
413,A,1986,21.93038125,4.7,92.05968404,LRP309B,N1
414,A,1992,21.91791196,2,92.0597363,LRP310A,N1
415,A,1993,21.91675917,3,92.05998993,LRP310B,N1
416,A,1994,21.91407272,4,92.06054721,LRP311A,N1
417,A,1983,21.90962291,9.2,92.06056613,LRP311B,N1
418,A,1989,21.89102365,13.64,92.05970108,LRP313B,N1
419,A,1989,21.88122152,9.3,92.05900154,LRP314A,N1
420,A,1989,21.87511974,3,92.05910984,LRP315A,N1
421,A,1982,21.86283514,3,92.05948487,LRP316A,N1
422,A,1995,21.85997258,56.4,92.06019071,LRP317A,N1
423,C,-1,21.85997258,56.2,92.06019071,LRP317A,N1
424,A,1992,21.85292879,14.3,92.06095762,LRP318A,N1
425,A,1974,21.85085953,2.1,92.06094913,LRP318B,N1
426,A,1992,21.84297007,4.5,92.06359846,LRP319A,N1
427,A,1992,21.84039357,3,92.06493255,LRP319B,N1
428,A,1995,21.83410332,15.8,92.06827359,LRP320A,N1
429,A,1991,21.82802582,7.3,92.07130355,LRP321A,N1
430,A,1992,21.82578318,46,92.07234663,LRP321B,N1
431,C,-1,21.82578318,45,92.07234663,LRP321B,N1
432,A,1992,21.82114288,12.4,92.07402014,LRP321D,N1
433,A,1992,21.81816926,14,92.07394424,LRP322A,N1
434,A,1998,21.8034238,14,92.07723221,LRP323B,N1
435,A,1992,21.78785401,20.6,92.07885401,LRP325A,N1
436,A,1998,21.78699748,21,92.07894932,LRP325C,N1
437,B,1992,21.78419533,14.2,92.07924254,LRP326A,N1
